Depth,Pressure,Temperature,PWM_FL,PWM_FR,PWM_BL,PWM_BR
-0.12,1000.8,13.72,1572,1419,1572,1419
-0.12,1001.7,13.72,1572,1419,1572,1419
-0.1,1003.4,13.72,1570,1422,1570,1422
-0.07,1006.6,13.72,1566,1426,1566,1426
-0.02,1011.0,13.72,1559,1434,1559,1434
0.02,1014.8,13.72,1554,1441,1554,1441
0.07,1019.7,13.72,1546,1449,1546,1449
0.12,1024.3,13.71,1536,1459,1536,1459
0.15,1027.9,13.71,1533,1465,1533,1465
0.18,1030.3,13.71,1466,1532,1466,1532
0.21,1033.1,13.71,1462,1535,1462,1535
0.22,1034.8,13.7,1459,1536,1459,1536
0.24,1036.0,13.7,1456,1540,1456,1540
0.24,1036.5,13.7,1456,1540,1456,1540
0.24,1036.6,13.7,1456,1540,1456,1540
0.24,1036.0,13.7,1456,1540,1456,1540
0.23,1035.0,13.69,1458,1538,1458,1538
0.22,1034.2,13.69,1459,1536,1459,1536
0.21,1033.4,13.69,1462,1535,1462,1535
0.19,1031.8,13.69,1465,1533,1465,1533
0.18,1030.4,13.69,1466,1532,1466,1532
0.16,1029.1,13.69,1466,1532,1466,1532
0.14,1027.0,13.69,1534,1464,1534,1464
0.12,1025.1,13.69,1536,1459,1536,1459
0.11,1023.4,13.69,1538,1458,1538,1458
0.09,1021.7,13.69,1542,1454,1542,1454
0.08,1021.0,13.69,1544,1451,1544,1451
0.08,1020.7,13.69,1544,1451,1544,1451
0.07,1020.1,13.69,1546,1449,1546,1449
0.07,1019.6,13.69,1546,1449,1546,1449
0.07,1020.0,13.69,1546,1449,1546,1449
0.08,1020.6,13.69,1544,1451,1544,1451
0.08,1021.3,13.69,1544,1451,1544,1451
0.08,1021.3,13.69,1544,1451,1544,1451
0.09,1022.0,13.69,1542,1454,1542,1454
0.1,1022.5,13.7,1540,1456,1540,1456
0.11,1023.8,13.7,1538,1458,1538,1458
0.11,1023.8,13.7,1538,1458,1538,1458
0.12,1024.5,13.7,1536,1459,1536,1459
0.12,1024.5,13.7,1536,1459,1536,1459
0.12,1024.8,13.7,1536,1459,1536,1459
0.13,1025.6,13.71,1535,1462,1535,1462
0.13,1025.5,13.71,1535,1462,1535,1462
0.13,1025.8,13.71,1535,1462,1535,1462
0.14,1026.9,13.71,1534,1464,1534,1464
0.14,1026.4,13.72,1534,1464,1534,1464
0.15,1027.4,13.72,1533,1465,1533,1465
0.14,1027.1,13.72,1534,1464,1534,1464
0.15,1027.8,13.72,1533,1465,1533,1465
0.14,1027.1,13.72,1534,1464,1534,1464
0.15,1027.9,13.73,1533,1465,1533,1465
0.16,1028.2,13.73,1533,1465,1533,1465
0.16,1028.5,13.74,1533,1465,1533,1465
0.16,1028.3,13.74,1533,1465,1533,1465
0.16,1028.3,13.74,1533,1465,1533,1465
0.15,1027.9,13.74,1533,1465,1533,1465
0.15,1027.8,13.75,1533,1465,1533,1465
0.16,1028.6,13.75,1533,1465,1533,1465
0.15,1028.1,13.75,1533,1465,1533,1465
0.15,1027.8,13.76,1533,1465,1533,1465
0.15,1027.9,13.76,1533,1465,1533,1465
0.15,1028.1,13.76,1533,1465,1533,1465
0.15,1027.4,13.76,1533,1465,1533,1465
0.15,1027.7,13.76,1533,1465,1533,1465
0.15,1027.5,13.76,1533,1465,1533,1465
0.15,1027.3,13.76,1533,1465,1533,1465
0.15,1027.2,13.76,1533,1465,1533,1465
0.14,1027.1,13.76,1534,1464,1534,1464
0.14,1027.0,13.76,1534,1464,1534,1464
0.14,1027.0,13.76,1534,1464,1534,1464
0.14,1026.2,13.76,1534,1464,1534,1464
0.13,1025.9,13.76,1535,1462,1535,1462
0.14,1026.6,13.77,1534,1464,1534,1464
0.14,1026.7,13.77,1534,1464,1534,1464
0.13,1026.0,13.77,1535,1462,1535,1462
0.14,1026.2,13.77,1534,1464,1534,1464
0.13,1025.9,13.77,1535,1462,1535,1462
0.14,1026.2,13.77,1534,1464,1534,1464
0.13,1026.0,13.77,1535,1462,1535,1462
0.13,1026.0,13.78,1535,1462,1535,1462
0.14,1026.4,13.78,1534,1464,1534,1464
0.14,1026.3,13.78,1534,1464,1534,1464
0.13,1025.6,13.78,1535,1462,1535,1462
0.14,1026.7,13.78,1534,1464,1534,1464
0.13,1026.1,13.78,1535,1462,1535,1462
0.14,1027.1,13.78,1534,1464,1534,1464
0.14,1026.3,13.78,1534,1464,1534,1464
0.14,1027.1,13.78,1534,1464,1534,1464
0.14,1027.0,13.78,1534,1464,1534,1464
0.14,1026.9,13.78,1534,1464,1534,1464
0.14,1026.7,13.78,1534,1464,1534,1464
0.14,1027.0,13.78,1534,1464,1534,1464
0.15,1027.2,13.79,1533,1465,1533,1465
0.14,1026.7,13.78,1534,1464,1534,1464
0.14,1026.9,13.79,1534,1464,1534,1464
0.14,1026.7,13.79,1534,1464,1534,1464
0.14,1027.1,13.79,1534,1464,1534,1464
0.14,1026.6,13.79,1534,1464,1534,1464
0.14,1026.7,13.79,1534,1464,1534,1464
0.14,1026.5,13.8,1534,1464,1534,1464
0.13,1026.0,13.79,1535,1462,1535,1462
0.14,1026.6,13.8,1534,1464,1534,1464
0.14,1026.7,13.8,1534,1464,1534,1464
0.16,1028.6,13.8,1534,1464,1534,1464
0.23,1035.5,13.8,1458,1538,1458,1538
0.28,1039.9,13.8,1447,1548,1447,1548
0.32,1043.8,13.79,1441,1554,1441,1554
0.35,1047.1,13.78,1435,1558,1435,1558
0.38,1050.2,13.77,1430,1562,1430,1562
0.38,1050.6,13.76,1430,1562,1430,1562
0.38,1049.9,13.75,1430,1562,1430,1562
0.36,1047.8,13.74,1434,1559,1434,1559
0.32,1044.1,13.73,1441,1554,1441,1554
0.28,1040.8,13.73,1447,1548,1447,1548
0.24,1036.9,13.72,1456,1540,1456,1540
0.21,1033.2,13.71,1462,1535,1462,1535
0.17,1029.2,13.71,1462,1535,1462,1535
0.14,1026.5,13.7,1534,1464,1534,1464
0.11,1023.5,13.7,1538,1458,1538,1458
0.07,1020.0,13.7,1546,1449,1546,1449
0.06,1018.7,13.69,1548,1447,1548,1447
0.05,1017.4,13.69,1549,1446,1549,1446
