Roll,P,FL,FR,BL,BR
0.002932,0.000005,1500,1500,1500,1500
0.002915,-0.000199,1500,1500,1500,1500
0.002897,0.000121,1500,1500,1500,1500
0.002880,0.000138,1500,1500,1500,1500
0.002862,-0.000464,1500,1500,1500,1500
0.002810,0.000532,1500,1500,1500,1500
0.002775,-0.001592,1500,1500,1500,1500
0.002740,-0.000387,1500,1500,1500,1500
0.002705,0.000484,1500,1500,1500,1500
0.002653,-0.000442,1500,1500,1500,1500
0.002618,-0.000237,1500,1500,1500,1500
0.002548,-0.000318,1500,1500,1500,1500
0.002478,0.000137,1500,1500,1500,1500
0.002426,-0.000277,1500,1500,1500,1500
0.002356,-0.000225,1500,1500,1500,1500
0.002286,0.000772,1500,1500,1500,1500
0.002217,-0.000760,1500,1500,1500,1500
0.002129,0.000456,1500,1500,1500,1500
0.002042,-0.001267,1500,1500,1500,1500
0.001937,-0.000137,1500,1500,1500,1500
0.001833,-0.000531,1500,1500,1500,1500
0.001728,-0.000580,1500,1500,1500,1500
0.001606,0.000099,1500,1500,1500,1500
0.001466,-0.000646,1500,1500,1500,1500
0.001326,-0.000248,1500,1500,1500,1500
0.001169,-0.000541,1500,1500,1500,1500
0.001012,0.000066,1500,1500,1500,1500
0.000855,-0.000066,1500,1500,1500,1500
0.000698,-0.000113,1500,1500,1500,1500
0.000506,0.000393,1500,1500,1500,1500
0.000314,-0.000166,1500,1500,1500,1500
0.000122,0.000854,1500,1500,1500,1500
-0.000070,-0.000528,1500,1500,1500,1500
-0.000279,0.000558,1500,1500,1500,1500
-0.000471,-0.000308,1500,1500,1500,1500
-0.000698,-0.000038,1500,1500,1500,1500
-0.000873,-0.000423,1500,1500,1500,1500
-0.001047,0.000503,1500,1500,1500,1500
-0.001187,0.000686,1500,1500,1500,1500
-0.001361,0.000113,1500,1500,1500,1500
-0.001518,-0.000065,1500,1500,1500,1500
-0.001728,0.000253,1500,1500,1500,1500
-0.001885,-0.000499,1500,1500,1500,1500
-0.002025,-0.000636,1500,1500,1500,1500
-0.002147,-0.000642,1500,1500,1500,1500
-0.002286,0.000813,1500,1500,1500,1500
-0.002391,-0.000751,1500,1500,1500,1500
-0.002531,0.000446,1500,1500,1500,1500
-0.002670,0.000811,1500,1500,1500,1500
-0.002775,-0.000492,1500,1500,1500,1500
-0.002880,0.000344,1500,1500,1500,1500
-0.003002,-0.000558,1500,1500,1500,1500
-0.003072,-0.000212,1500,1500,1500,1500
-0.003194,-0.000853,1500,1500,1500,1500
-0.003264,-0.001610,1500,1500,1500,1500
-0.003351,0.000186,1500,1500,1500,1500
-0.003438,-0.000325,1500,1500,1500,1500
-0.003543,-0.000678,1500,1500,1500,1500
-0.003648,0.000136,1500,1500,1500,1500
-0.003718,-0.001256,1500,1500,1500,1500
-0.003822,-0.000883,1500,1500,1500,1500
-0.003927,-0.000676,1500,1500,1500,1500
-0.003997,-0.000803,1500,1500,1500,1500
-0.004067,0.000216,1500,1500,1500,1500
-0.004136,0.000615,1500,1500,1500,1500
-0.004224,-0.001647,1500,1500,1500,1500
-0.004328,-0.001101,1500,1500,1500,1500
-0.004416,0.000286,1500,1500,1500,1500
-0.004503,-0.000342,1500,1500,1500,1500
-0.004573,-0.000939,1500,1500,1500,1500
-0.004677,-0.000564,1500,1500,1500,1500
-0.004747,0.000156,1500,1500,1500,1500
-0.004817,-0.000996,1500,1500,1500,1500
-0.004887,-0.000024,1500,1500,1500,1500
-0.004922,-0.000804,1500,1500,1500,1500
-0.004992,-0.000359,1500,1500,1500,1500
-0.005044,-0.000654,1500,1500,1500,1500
-0.005114,-0.000075,1500,1500,1500,1500
-0.005166,0.000352,1500,1500,1500,1500
-0.005201,0.000201,1500,1500,1500,1500
-0.005236,0.000723,1500,1500,1500,1500
-0.005306,-0.000403,1500,1500,1500,1500
-0.005358,-0.000290,1500,1500,1500,1500
-0.005393,0.000665,1500,1500,1500,1500
-0.005428,0.000024,1500,1500,1500,1500
-0.005480,0.000418,1500,1500,1500,1500
-0.005533,-0.000146,1500,1500,1500,1500
-0.005585,-0.000236,1500,1500,1500,1500
-0.005637,-0.000680,1500,1500,1500,1500
-0.005672,-0.000447,1500,1500,1500,1500
-0.005707,-0.001067,1500,1500,1500,1500
-0.005777,-0.001070,1500,1500,1500,1500
-0.005864,-0.000950,1500,1500,1500,1500
-0.005899,-0.001966,1500,1500,1500,1500
-0.005952,-0.001345,1500,1500,1500,1500
-0.006004,-0.001601,1500,1500,1500,1500
-0.006056,-0.001703,1500,1500,1500,1500
-0.006126,-0.000524,1500,1500,1500,1500
-0.006144,-0.000187,1500,1500,1500,1500
-0.006161,-0.001544,1500,1500,1500,1500
-0.006213,-0.000908,1500,1500,1500,1500
-0.006266,-0.000894,1500,1500,1500,1500
-0.006318,-0.001008,1500,1500,1500,1500
-0.006353,-0.000895,1500,1500,1500,1500
-0.006423,-0.000331,1500,1500,1500,1500
-0.006458,-0.000579,1500,1500,1500,1500
-0.006475,-0.001274,1500,1500,1500,1500
-0.006510,-0.001072,1500,1500,1500,1500
-0.006528,-0.001045,1500,1500,1500,1500
-0.006580,-0.003411,1500,1500,1500,1500
-0.006667,-0.003570,1500,1500,1500,1500
-0.006772,-0.003963,1500,1500,1500,1500
-0.006912,-0.004912,1500,1500,1500,1500
-0.007086,-0.011298,1535,1463,1535,1463
-0.007749,-0.007309,1548,1447,1548,1447
-0.007906,-0.006157,1540,1456,1540,1456
-0.008081,-0.007418,1538,1458,1538,1458
-0.008290,-0.007762,1537,1459,1537,1459
-0.008447,-0.007236,1536,1459,1536,1459
-0.008639,-0.006901,1536,1459,1536,1459
-0.008831,-0.005290,1535,1460,1535,1460
-0.008971,-0.005579,1536,1459,1536,1459
-0.009111,-0.004774,1536,1459,1536,1459
-0.009215,-0.006665,1537,1458,1537,1458
-0.009355,-0.003289,1535,1461,1535,1461
-0.009425,0.002097,1534,1464,1534,1464
-0.009390,0.001837,1535,1461,1535,1461
-0.009355,0.003414,1535,1462,1535,1462
-0.009285,0.002691,1535,1460,1535,1460
-0.009215,-0.001645,1538,1458,1538,1458
-0.009233,-0.002675,1537,1458,1537,1458
-0.009268,0.000976,1535,1461,1535,1461
-0.009215,0.003558,1535,1462,1535,1462
-0.009128,0.003056,1535,1460,1535,1460
-0.009076,-0.002610,1539,1457,1539,1457
-0.009180,-0.005724,1540,1456,1540,1456
-0.009390,-0.016949,1546,1449,1546,1449
-0.009791,-0.015667,1542,1454,1542,1454
-0.010158,-0.014596,1541,1455,1541,1455
-0.010489,-0.008707,1537,1458,1537,1458
-0.010856,-0.031688,1554,1441,1554,1441
-0.011781,-0.045368,1556,1438,1556,1438
